transactionid,cardid,AmountRange,id_2,id_19,id_20,id_30,id_31,id_33,deviceType,deviceinfo,productcd,card4,card6,addr1,addr2,dist1,dist2,P_emailDomain,R_emailDomain,isFraud
2987601,12544-321-150-226,"(-inf - 26.5]","(63489.5 - 87347]","(542.5 - +inf)","(416 - 506.5]","iOS 11.1.2","mobile safari 11.0",2048x1536,mobile,"iOS Device",H,visa,debit,"(325.5 - 337.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_cox.net,R_emailDomainNull,FALSE
2988340,12544-321-150-226,"(75.5 - 100.5]","(87347 - 112122]","(316.5 - 383.5]","(596.5 - +inf)","iOS 11.1.1","mobile safari 11.0",2208x1242,mobile,"iOS Device",H,visa,debit,"(264.5 - 290.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_gmail.com,R_yahoo.com,FALSE
2988342,12544-321-150-226,"(75.5 - 100.5]","(-inf - 38911.5]","(316.5 - 383.5]","(596.5 - +inf)","iOS 11.1.1","mobile safari 11.0",2208x1242,mobile,"iOS Device",H,visa,debit,"(264.5 - 290.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_gmail.com,R_yahoo.com,FALSE
2989029,12544-321-150-226,"(160.5 - 279.5]","(112122 - 141357.5]","(383.5 - 416.5]","(326 - 416]","Windows 7","chrome 62.0",1440x900,desktop,Windows,R,visa,debit,"(452.5 - +inf)","(86.5 - 87.5]",dist1Null,dist2Null,P_gmail.com,R_anonymous.com,FALSE
2989070,12544-321-150-226,"(49.5 - 58.5]","(-inf - 38911.5]","(175.5 - 252.5]","(214.5 - 304.5]","Windows 10","edge 15.0",1600x900,desktop,Windows,S,visa,debit,"(181.5 - 204.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_emailDomainNull,R_aol.com,FALSE
2989178,12544-321-150-226,"(36.5 - 49.5]","(-inf - 38911.5]","(383.5 - 416.5]","(507.5 - 549.5]","Windows 7","chrome 62.0",1920x1080,desktop,Windows,H,visa,debit,"(452.5 - +inf)","(86.5 - 87.5]",dist1Null,dist2Null,P_gmail.com,R_emailDomainNull,FALSE
2989827,12544-321-150-226,"(75.5 - 100.5]","(176963 - 224296.5]","(427.5 - 542.5]","(-inf - 214.5]","Windows 10","edge 15.0",1366x768,desktop,Windows,H,visa,debit,"(337.5 - 452.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_gmail.com,R_emailDomainNull,FALSE
2989949,12544-321-150-226,"(49.5 - 58.5]","(38911.5 - 63489.5]","(266.5 - 316.5]","(-inf - 214.5]","Windows 10","chrome 62.0",1920x1080,desktop,Windows,H,visa,debit,"(337.5 - 452.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_mail.com,R_mail.com,FALSE
2989981,12544-321-150-226,"(49.5 - 58.5]","(224296.5 - 296641]","(266.5 - 316.5]","(-inf - 214.5]","Windows 10","chrome 62.0",1920x1080,desktop,Windows,H,visa,debit,"(337.5 - 452.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_mail.com,R_mail.com,FALSE
2992815,12544-321-150-226,"(-inf - 26.5]","(426782 - +inf)","(427.5 - 542.5]","(-inf - 214.5]","iOS 10.2.1","mobile safari 10.0",1334x750,mobile,"iOS Device",H,visa,debit,"(337.5 - 452.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_gmail.com,R_emailDomainNull,FALSE
2992822,12544-321-150-226,"(-inf - 26.5]","(38911.5 - 63489.5]","(427.5 - 542.5]","(-inf - 214.5]","iOS 10.2.1","mobile safari 10.0",1334x750,mobile,"iOS Device",H,visa,debit,"(337.5 - 452.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_gmail.com,R_emailDomainNull,FALSE
2993394,12544-321-150-226,"(49.5 - 58.5]","(63489.5 - 87347]","(542.5 - +inf)","(326 - 416]","Windows 7","firefox 57.0",1366x768,desktop,Windows,H,visa,debit,"(181.5 - 204.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_gmail.com,R_emailDomainNull,FALSE
2993404,12544-321-150-226,"(49.5 - 58.5]","(38911.5 - 63489.5]","(542.5 - +inf)","(326 - 416]","Windows 7","firefox 57.0",1366x768,desktop,Windows,H,visa,debit,"(181.5 - 204.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_gmail.com,R_emailDomainNull,FALSE
2993429,12544-321-150-226,"(49.5 - 58.5]","(87347 - 112122]","(542.5 - +inf)","(326 - 416]","Windows 7","firefox 57.0",1366x768,desktop,Windows,H,visa,debit,"(452.5 - +inf)","(86.5 - 87.5]",dist1Null,dist2Null,P_gmail.com,R_emailDomainNull,FALSE
2995141,12544-321-150-226,"(75.5 - 100.5]","(141357.5 - 176963]","(316.5 - 383.5]","(549.5 - 564.5]","Windows 7","firefox 57.0",1366x768,desktop,Windows,H,visa,debit,"(325.5 - 337.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_gmail.com,R_gmail.com,TRUE
2995181,12544-321-150-226,"(49.5 - 58.5]","(-inf - 38911.5]","(-inf - 175.5]","(416 - 506.5]","iOS 11.1.2","mobile safari 11.0",1334x750,mobile,"iOS Device",H,visa,debit,"(325.5 - 337.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_anonymous.com,R_emailDomainNull,FALSE
